code	name	type	scope	status
aaa	Ghotuo	living	individual	pending
aab	Alumu-Tesu	living	individual	pending
aac	Ari	living	individual	pending
aad	Amal	living	individual	pending
aae	Arbëreshë Albanian	living	individual	pending
aaf	Aranadan	living	individual	pending
aag	Ambrak	living	individual	pending
aah	Abu' Arapesh	living	individual	pending
aai	Arifama-Miniafia	living	individual	pending
aak	Ankave	living	individual	pending
aal	Afade	living	individual	pending
aan	Anambé	living	individual	pending
aao	Algerian Saharan Arabic	living	individual	pending
aap	Pará Arára	living	individual	pending
aaq	Eastern Abnaki	extinct	individual	pending
aar	Afar	living	individual	pending
aas	Aasáx	living	individual	pending
aat	Arvanitika Albanian	living	individual	pending
aau	Abau	living	individual	pending
aaw	Solong	living	individual	pending
aax	Mandobo Atas	living	individual	pending
aaz	Amarasi	living	individual	pending
aba	Abé	living	individual	pending
abb	Bankon	living	individual	pending
abc	Ambala Ayta	living	individual	pending
abd	Manide	living	individual	pending
abe	Western Abnaki	living	individual	pending
abf	Abai Sungai	living	individual	pending
abg	Abaga	living	individual	pending
abh	Tajiki Arabic	living	individual	pending
abi	Abidji	living	individual	pending
abj	Aka-Bea	extinct	individual	pending
abk	Abkhazian	living	individual	pending
abl	Lampung Nyo	living	individual	pending
abm	Abanyom	living	individual	pending
abn	Abua	living	individual	pending
abo	Abon	living	individual	pending
abp	Abellen Ayta	living	individual	pending
abq	Abaza	living	individual	pending
abr	Abron	living	individual	pending
abs	Ambonese Malay	living	individual	pending
abt	Ambulas	living	individual	pending
abu	Abure	living	individual	pending
abv	Baharna Arabic	living	individual	pending
abw	Pal	living	individual	pending
abx	Inabaknon	living	individual	pending
aby	Aneme Wake	living	individual	pending
abz	Abui	living	individual	pending
aca	Achagua	living	individual	pending
acb	Áncá	living	individual	pending
acd	Gikyode	living	individual	pending
ace	Achinese	living	individual	pending
acf	Saint Lucian Creole French	living	individual	pending
ach	Acoli	living	individual	pending
aci	Aka-Cari	extinct	individual	pending
ack	Aka-Kora	extinct	individual	pending
acl	Akar-Bale	extinct	individual	pending
acm	Mesopotamian Arabic	living	individual	pending
acn	Achang	living	individual	pending
acp	Eastern Acipa	living	individual	pending
acq	Ta'izzi-Adeni Arabic	living	individual	pending
acr	Achi	living	individual	pending
acs	Acroá	extinct	individual	pending
act	Achterhoeks	living	individual	pending
acu	Achuar-Shiwiar	living	individual	pending
acv	Achumawi	living	individual	pending
acw	Hijazi Arabic	living	individual	pending
acx	Omani Arabic	living	individual	pending
acy	Cypriot Arabic	living	individual	pending
acz	Acheron	living	individual	pending
ada	Adangme	living	individual	pending
adb	Atauran	living	individual	pending
add	Lidzonka	living	individual	pending
ade	Adele	living	individual	pending
adf	Dhofari Arabic	living	individual	pending
adg	Andegerebinha	living	individual	pending
adh	Adhola	living	individual	pending
adi	Adi	living	individual	pending
adj	Adioukrou	living	individual	pending
adl	Galo	living	individual	pending
adn	Adang	living	individual	pending
