code	num	name	unicode_pva	unicode_version	status
Adlm	166	Adlam	Adlam	9.0	encoded
Afak	439	Afaka			pending
Aghb	239	Caucasian Albanian	Caucasian_Albanian	7.0	encoded
Ahom	338	Ahom, Tai Ahom	Ahom	8.0	seeded
Arab	160	Arabic	Arabic	1.1	seeded
Aran	161	Arabic (Nastaliq variant)		1.1	seeded
Armi	124	Imperial Aramaic	Imperial_Aramaic	5.2	encoded
Armn	230	Armenian	Armenian	1.1	encoded
Avst	134	Avestan	Avestan	5.2	encoded
Bali	360	Balinese	Balinese	5.0	seeded
Bamu	435	Bamum	Bamum	5.2	encoded
Bass	259	Bassa Vah	Bassa_Vah	7.0	encoded
Batk	365	Batak	Batak	6.0	seeded
Beng	325	Bengali (Bangla)	Bengali	1.1	seeded
Berf	258	Beria Erfe			pending
Bhks	334	Bhaiksuki	Bhaiksuki	9.0	seeded
Blis	550	Blissymbols			pending
Bopo	285	Bopomofo	Bopomofo	1.1	encoded
Brah	300	Brahmi	Brahmi	6.0	seeded
Brai	570	Braille	Braille	3.0	encoded
Bugi	367	Buginese	Buginese	4.1	seeded
Buhd	372	Buhid	Buhid	3.2	seeded
Cakm	349	Chakma	Chakma	6.1	seeded
Cans	440	Unified Canadian Aboriginal Syllabics	Canadian_Aboriginal	3.0	encoded
Cari	201	Carian	Carian	5.1	encoded
Cham	358	Cham	Cham	5.1	seeded
Cher	445	Cherokee	Cherokee	3.0	encoded
Chis	298	Chisoi			pending
Chrs	109	Chorasmian	Chorasmian	13.0	encoded
Cirt	291	Cirth			pending
Copt	204	Coptic	Coptic	4.1	encoded
Cpmn	402	Cypro-Minoan	Cypro_Minoan	14.0	encoded
Cprt	403	Cypriot syllabary	Cypriot	4.0	encoded
Cyrl	220	Cyrillic	Cyrillic	1.1	encoded
Cyrs	221	Cyrillic (Old Church Slavonic variant)		1.1	encoded
Deva	315	Devanagari (Nagari)	Devanagari	1.1	seeded
Diak	342	Dives Akuru	Dives_Akuru	13.0	seeded
Dogr	328	Dogra	Dogra	11.0	seeded
Dsrt	250	Deseret (Mormon)	Deseret	3.1	encoded
Dupl	755	Duployan shorthand, Duployan stenography	Duployan	7.0	encoded
Egyd	070	Egyptian demotic			pending
Egyh	060	Egyptian hieratic		5.2	encoded
Egyp	050	Egyptian hieroglyphs	Egyptian_Hieroglyphs	5.2	encoded
Elba	226	Elbasan	Elbasan	7.0	encoded
Elym	128	Elymaic	Elymaic	12.0	encoded
Ethi	430	Ethiopic (Geʻez)	Ethiopic	3.0	encoded
Gara	164	Garay	Garay	16.0	encoded
Geok	241	Khutsuri (Asomtavruli and Nuskhuri)	Georgian	1.1	encoded
Geor	240	Georgian (Mkhedruli and Mtavruli)	Georgian	1.1	encoded
Glag	225	Glagolitic	Glagolitic	4.1	encoded
Gong	312	Gunjala Gondi	Gunjala_Gondi	11.0	seeded
Gonm	313	Masaram Gondi	Masaram_Gondi	10.0	seeded
Goth	206	Gothic	Gothic	3.1	encoded
Gran	343	Grantha	Grantha	7.0	seeded
Grek	200	Greek	Greek	1.1	encoded
Gujr	320	Gujarati	Gujarati	1.1	seeded
Gukh	397	Gurung Khema	Gurung_Khema	16.0	encoded
Guru	310	Gurmukhi	Gurmukhi	1.1	seeded
Hanb	503	Han with Bopomofo		1.1	encoded
Hang	286	Hangul	Hangul	1.1	encoded
Hani	500	Han (Hanzi, Kanji, Hanja)	Han	1.1	encoded
Hano	371	Hanunoo	Hanunoo	3.2	seeded
Hans	501	Han (Simplified variant)		1.1	encoded
Hant	502	Han (Traditional variant)		1.1	encoded
Hatr	127	Hatran	Hatran	8.0	encoded
Hebr	125	Hebrew	Hebrew	1.1	seeded
Hira	410	Hiragana	Hiragana	1.1	encoded
Hluw	080	Anatolian Hieroglyphs	Anatolian_Hieroglyphs	8.0	encoded
Hmng	450	Pahawh Hmong	Pahawh_Hmong	7.0	encoded
Hmnp	451	Nyiakeng Puachue Hmong	Nyiakeng_Puachue_Hmong	12.0	encoded
Hntl	504	Han (Traditional) with Latin			pending
Hrkt	412	Japanese syllabaries	Katakana_Or_Hiragana	1.1	encoded
Hung	176	Old Hungarian (Hungarian Runic)	Old_Hungarian	8.0	encoded
Inds	610	Indus (Harappan)			pending
Ital	210	Old Italic (Etruscan, Oscan, etc.)	Old_Italic	3.1	encoded
Jamo	284	Jamo		1.1	encoded
Java	361	Javanese	Javanese	5.2	seeded
Jpan	413	Japanese		1.1	encoded
Jurc	510	Jurchen			pending
Kali	357	Kayah Li	Kayah_Li	5.1	seeded
Kana	411	Katakana	Katakana	1.1	encoded
Kawi	368	Kawi	Kawi	15.0	seeded
Khar	305	Kharoshthi	Kharoshthi	4.1	seeded
Khmr	355	Khmer	Khmer	3.0	seeded
